category,Unique Users,mobile_brand_name,mobile_model_name,operating_system,operating_system_version,browser,language
desktop,183,,,,,,
mobile,5153,,,,,,
tablet,4,,,,,,
,4,Alcatel,,,,,
,148,Apple,,,,,
,1,BLU,,,,,
,1,DOOGEE,,,,,
,144,Google,,,,,
,105,Honor,,,,,
,194,Huawei,,,,,
,54,Infinix,,,,,
,4,Kalley,,,,,
,13,LG,,,,,
,2,Lenovo,,,,,
,18,Microsoft,,,,,
,650,Motorola,,,,,
,9,Mozilla,,,,,
,21,Nokia,,,,,
,178,OPPO,,,,,
,1,OnePlus,,,,,
,4,Opera Software,,,,,
,7,POCO,,,,,
,56,Realme,,,,,
,702,Samsung,,,,,
,1,T-Mobile,,,,,
,5,TCL,,,,,
,129,Tecno,,,,,
,119,Vivo,,,,,
,2522,Xiaomi,,,,,
,46,ZTE,,,,,
,1,itel,,,,,
,2,,1935,,,,
,4,,1938,,,,
,1,,2.4,,,,
,2,,21061110AG,,,,
,1,,21061119AG,,,,
,22,,21061119AL,,,,
,7,,2107113SG,,,,
,6,,21081111RG,,,,
,2,,21091116AG,,,,
,2,,21091116UG,,,,
,21,,2109119DG,,,,
,11,,21121119SG,,,,
,7,,21121119TL,,,,
,15,,21121119VL,,,,
,1,,22011119UY,,,,
,2,,2201116PG,,,,
,8,,2201116SG,,,,
,1,,2201116TG,,,,
,10,,2201117SG,,,,
,24,,2201117SL,,,,
,2,,2201117TG,,,,
,77,,2201117TL,,,,
,2,,2201122G,,,,
,1,,2201123G,,,,
,72,,220233L2G,,,,
,4,,22031116BG,,,,
,4,,2203129G,,,,
,7,,220333QAG,,,,
,80,,220333QL,,,,
,13,,220333QNY,,,,
,2,,220333QPG,,,,
,1,,2207117BPG,,,,
,1,,220733SG,,,,
,189,,220733SL,,,,
,8,,2209116AG,,,,
,5,,22101316UG,,,,
,3,,22101320G,,,,
,1,,22111317PG,,,,
,2,,22126RN91Y,,,,
,47,,2212ARNC4L,,,,
,1,,23021RAAEG,,,,
,233,,23026RN54G,,,,
,47,,23028RA60L,,,,
,2,,23028RN4DG,,,,
,2,,2303CRA44A,,,,
,27,,2303ERA42L,,,,
,1,,23049PCD8G,,,,
,70,,23053RN02L,,,,
,1,,2306EPN60G,,,,
,1,,23078PND5G,,,,
,8,,23090RA98G,,,,
,228,,23100RN82L,,,,
,2,,23106RN0DA,,,,
,1,,23108RN04Y,,,,
,1,,2310FPCA4G,,,,
,31,,23117RA68G,,,,
,4,,2311DRK48G,,,,
,1,,23124RA7EO,,,,
,23,,23129RA5FL,,,,
,1,,23129RAA4G,,,,
,1,,23129RN51X,,,,
,23,,2312CRNCCL,,,,
,5,,2312DRA50G,,,,
,2,,2312DRAABG,,,,
,1,,2312FPCA6G,,,,
,8,,24049RN28L,,,,
,1,,5.3,,,,
,1,,5.4,,,,
,1,,5002B,,,,
,1,,5007Z,,,,
,1,,5024A,,,,
,1,,5029E,,,,
,1,,6.2,,,,
,1,,7040,,,,
,1,,7060,,,,
,1,,8030,,,,
,5,,8045,,,,
,5,,8050,,,,
,1,,8550,,,,
,1,,9047,,,,
,1,,A665L,,,,
,2,,A7030,,,,
,1,,ALI-NX3,,,,
,1,,ANA-LX4,,,,
,8,,ANE-LX3,,,,
,1,,ANY-LX3,,,,
,2,,AQM-LX1,,,,
,1,,ART-L28,,,,
,1,,BAC-AL00,,,,
,1,,BC1,,,,
,1,,BD2d,,,,
,1,,BD4a,,,,
,1,,BE8,,,,
,5,,BF6,,,,
,3,,BF7,,,,
,36,,BG6,,,,
,7,,BG7,,,,
,3,,BLA-L09,,,,
,1,,BNE-LX3,,,,
,1,,Black G,,,,
,1,,Black G2,,,,
,4,,Blade A31 Lite,,,,
,3,,Blade A31 Plus,,,,
,8,,Blade A34,,,,
,2,,Blade A51,,,,
,2,,Blade A52,,,,
,3,,Blade A54,,,,
,2,,Blade L210,,,,
,1,,Blade L8,,,,
,3,,Blade L9,,,,
,1,,C21 Plus,,,,
,2,,CH6IS,,,,
,6,,CH7n,,,,
,1,,CHC-U03,,,,
,1,,CK6ns,,,,
,2,,CK7n,,,,
,1,,CL6,,,,
,12,,CLK-LX3,,,,
,11,,CMA-LX3,,,,
,3,,CPH2145,,,,
,10,,CPH2205,,,,
,9,,CPH2239,,,,
,1,,CPH2269,,,,
,20,,CPH2363,,,,
,5,,CPH2365,,,,
,1,,CPH2375,,,,
,3,,CPH2387,,,,
,4,,CPH2477,,,,
,9,,CPH2531,,,,
,44,,CPH2557,,,,
,4,,CPH2565,,,,
,32,,CPH2577,,,,
,19,,CPH2579,,,,
,10,,CPH2603,,,,
,1,,CPH2625,,,,
,1,,CPH2637,,,,
,15,,CRT-LX3,,,,
,5,,CRT-NX3,,,,
,1,,CTR-L81,,,,
,1,,CTR-LX3,,,,
,1,,DN2103,,,,
,1,,DRA-LX3,,,,
,6,,DUB-LX3,,,,
,1,,ELE-L04,,,,
,1,,ELE-L29,,,,
,1,,ELI-NX9,,,,
,2,,EML-L09,,,,
,9,,Edge 30 Neo,,,,
,5,,Edge 40,,,,
,13,,Edge 40 Neo,,,,
,1,,Edge 50,,,,
,17,,Edge 50 Fusion,,,,
,1,,Edge 50 Pro,,,,
,1,,FIG-LX3,,,,
,1,,FLA-LX3,,,,
,3,,Firefox for Android,,,,
,1,,G10,,,,
,1,,G11 Plus,,,,
,1,,G20,,,,
,11,,G21,,,,
,2,,G60 5G,,,,
,1,,G73L,,,,
,3,,G8 Power,,,,
,1,,HBN-LX9,,,,
,1,,HMA-L29,,,,
,1,,J701M,,,,
,1,,JAD-LX9,,,,
,18,,JKM-LX3,,,,
,2,,JLN-LX3,,,,
,4,,JSN-L23,,,,
,1,,K15q,,,,
,2,,KE5k,,,,
,1,,KG5,,,,
,1,,KG5j,,,,
,3,,KG5k,,,,
,5,,KG5ks,,,,
,6,,KI5k,,,,
,9,,KI7,,,,
,10,,KJ5,,,,
,1,,KJ6,,,,
,2,,KJ7,,,,
,5,,KJ7s,,,,
,5,,KL4,,,,
,1,,LE6h,,,,
,3,,LG6n,,,,
,3,,LG7n,,,,
,4,,LH7n,,,,
,6,,LLY-LX3,,,,
,2,,LM-K410,,,,
,2,,LM-K420,,,,
,6,,LM-Q630,,,,
,1,,LM-X520,,,,
,1,,LM-X525,,,,
,1,,LM-X540,,,,
,2,,LYA-L09,,,,
,25,,M1908C3JGG,,,,
,99,,M2003J15SC,,,,
,39,,M2004J19C,,,,
,279,,M2006C3LG,,,,
,1,,M2006C3LI,,,,
,5,,M2006C3LVG,,,,
,232,,M2006C3MG,,,,
,5,,M2006C3MNG,,,,
,16,,M2007J20CG,,,,
,2,,M2007J3SG,,,,
,8,,M2010J19CG,,,,
,1,,M2010J19SG,,,,
,14,,M2010J19SL,,,,
,1,,M2012K11AG,,,,
,17,,M2101K6G,,,,
,7,,M2101K6R,,,,
,6,,M2101K7AG,,,,
,3,,M2101K7BG,,,,
,39,,M2101K7BL,,,,
,1,,M2101K9AG,,,,
,4,,M2101K9G,,,,
,22,,M2102J20SG,,,,
,5,,M2103K19G,,,,
,3,,M2103K19PG,,,,
,7,,MAO-LX9,,,,
,15,,MAR-LX3A,,,,
,1,,MAR-LX3Bm,,,,
,2,,MGA-LX3,,,,
,1,,MI 8,,,,
,2,,MI 8 Lite,,,,
,1,,MI 9,,,,
,2,,MRD-LX3,,,,
,1,,Mi 10 Pro,,,,
,1,,Mi 9T Pro,,,,
,1,,Mi A2,,,,
,1,,Mi A3,,,,
,2,,Mi Note 10 Lite,,,,
,1,,Mi Note 10 Pro,,,,
,1,,Moto C,,,,
,15,,Moto E13,,,,
,2,,Moto E14,,,,
,8,,Moto E22,,,,
,4,,Moto E22i,,,,
,3,,Moto E32,,,,
,9,,Moto E40,,,,
,2,,Moto E6 Play,,,,
,3,,Moto E6 Plus,,,,
,3,,Moto E6S,,,,
,2,,Moto E6i,,,,
,1,,Moto E7i Power,,,,
,1,,Moto G (5S),,,,
,1,,Moto G (5S) Plus,,,,
,1,,Moto G 5G 2024,,,,
,1,,Moto G Power (2021),,,,
,1,,Moto G Stylus,,,,
,9,,Moto G14,,,,
,45,,Moto G20,,,,
,2,,Moto G200 5G,,,,
,22,,Moto G22,,,,
,5,,Moto G24,,,,
,6,,Moto G24 Power,,,,
,16,,Moto G31,,,,
,18,,Moto G32,,,,
,13,,Moto G34 5G,,,,
,4,,Moto G42,,,,
,1,,Moto G5,,,,
,36,,Moto G52,,,,
,1,,Moto G6 Play,,,,
,2,,Moto G6 Plus,,,,
,4,,Moto G7 Play,,,,
,3,,Moto G7 Plus,,,,
,5,,Moto G7 Power,,,,
,37,,Moto G72,,,,
,2,,Moto G8 Play,,,,
,48,,Moto G84 5G,,,,
,5,,Moto G85 5G,,,,
,13,,Moto G9 Play,,,,
,8,,Moto One Macro,,,,
,1,,Moto e5 plus,,,,
,3,,Moto g(8) power lite,,,,
,5,,Moto g41,,,,
,1,,NTH-NX9,,,,
,3,,NTN-LX3,,,,
,1,,Nexus 5,,,,
,5,,One,,,,
,5,,One Action,,,,
,18,,One Fusion,,,,
,1,,One Fusion+,,,,
,1,,One Hyper,,,,
,2,,One Zoom,,,,
,2,,PACM00,,,,
,1,,POCO F1,,,,
,8,,POT-LX3,,,,
,1,,PPA-LX3,,,,
,1,,Pixel 7,,,,
,1,,REA-NX9,,,,
,1,,REVVL V+ 5G,,,,
,12,,RKY-LX3,,,,
,9,,RMO-NX3,,,,
,1,,RMX2001,,,,
,1,,RMX2020,,,,
,1,,RMX2103,,,,
,4,,RMX3231,,,,
,3,,RMX3241,,,,
,1,,RMX3261,,,,
,2,,RMX3263,,,,
,1,,RMX3624,,,,
,13,,RMX3710,,,,
,2,,RMX3741,,,,
,6,,RMX3760,,,,
,1,,RMX3780,,,,
,6,,RMX3834,,,,
,1,,RMX3840,,,,
,9,,RMX3890,,,,
,1,,RMX3910,,,,
,2,,RMX3939,,,,
,1,,RMX3999,,,,
,1,,Redmi 6,,,,
