city,Unique Users,country,continent,region,sub_continent,metro
,280,,,,,
13976,1,,,,,
29348,1,,,,,
40191,1,,,,,
53562,1,,,,,
58407,1,,,,,
79823,1,,,,,
97659,1,,,,,
Abrego,3,,,,,
Acacias,9,,,,,
Aguachica,3,,,,,
Aguadas,1,,,,,
Amaga,2,,,,,
Andes,1,,,,,
Apartado,6,,,,,
Aracataca,3,,,,,
Arauca,4,,,,,
Arjona,87,,,,,
Armenia,29,,,,,
Atlanta,1,,,,,
Aviles,1,,,,,
Ayapel,3,,,,,
Banjarbaru Selatan,4,,,,,
Baranoa,3,,,,,
Barbosa,8,,,,,
Barinas,1,,,,,
Barrancabermeja,13,,,,,
Barrancas,1,,,,,
Barranquilla,584,,,,,
Bello,48,,,,,
Bogota,1483,,,,,
Bolivar,4,,,,,
Bucaramanga,171,,,,,
Buenaventura,9,,,,,
Buenos Aires,1,,,,,
Cali,475,,,,,
Campoalegre,2,,,,,
Carepa,5,,,,,
Carmen de Viboral,12,,,,,
Cartago,3,,,,,
Caucasia,10,,,,,
Cerete,5,,,,,
Chaparral,1,,,,,
Chia,25,,,,,
Chigorodo,2,,,,,
Chinchina,1,,,,,
Cienaga,6,,,,,
Cienaga de Oro,2,,,,,
Cimitarra,3,,,,,
Codazzi,7,,,,,
Copacabana,1,,,,,
Corinto,2,,,,,
Corozal,5,,,,,
Cucuta,55,,,,,
Curumani,3,,,,,
Dagua,6,,,,,
Dosquebradas,13,,,,,
Duitama,1,,,,,
El Carmen de Bolivar,3,,,,,
El Cerrito,3,,,,,
El Doncello,1,,,,,
El Santuario,2,,,,,
Envigado,29,,,,,
Facatativa,11,,,,,
Florencia,10,,,,,
Florida,1,,,,,
Floridablanca,18,,,,,
Fonseca,3,,,,,
Fresno,3,,,,,
Fundacion,8,,,,,
Fusagasuga,6,,,,,
Galapa,7,,,,,
Garagoa,2,,,,,
Garzon,4,,,,,
Girardot,12,,,,,
Girardota,5,,,,,
Giron,12,,,,,
Gottingen,1,,,,,
Guamo,1,,,,,
Guapi,1,,,,,
Guarne,1,,,,,
Honda,1,,,,,
Ibague,38,,,,,
Ipiales,3,,,,,
Itagui,19,,,,,
Jamundi,16,,,,,
Kramfors,1,,,,,
La Calera,1,,,,,
La Ceja,6,,,,,
La Dorada,3,,,,,
La Plata,3,,,,,
La Tebaida,2,,,,,
La Union,1,,,,,
La Victoria,1,,,,,
La Virginia,1,,,,,
Lerida,1,,,,,
Lian Fitu,1,,,,,
Libano,2,,,,,
Lorica,4,,,,,
Madrid,22,,,,,
Magangue,7,,,,,
Maicao,5,,,,,
Malambo,11,,,,,
Manizales,24,,,,,
Medellin,1034,,,,,
Mexico City,1,,,,,
Mocoa,3,,,,,
Monteria,81,,,,,
Montreal,1,,,,,
Natagaima,1,,,,,
Neira,1,,,,,
Neiva,37,,,,,
Ocana,3,,,,,
Orlando,1,,,,,
Paipa,1,,,,,
Palmar de Varela,2,,,,,
Palmira,41,,,,,
Pamplona,5,,,,,
Pasto,30,,,,,
Pereira,45,,,,,
Piedecuesta,14,,,,,
Pitalito,10,,,,,
Pivijay,1,,,,,
Pompano Beach,1,,,,,
Popayan,12,,,,,
Pradera,2,,,,,
Puebloviejo,1,,,,,
Puerto Asis,6,,,,,
Puerto Berrio,6,,,,,
Puerto Boyaca,3,,,,,
Puerto Colombia,2,,,,,
Puerto Rico,1,,,,,
Quibdo,5,,,,,
Riohacha,15,,,,,
Riosucio,1,,,,,
Roldanillo,2,,,,,
Sabana de Torres,1,,,,,
Sabanagrande,2,,,,,
Sabanalarga,4,,,,,
Salamina,1,,,,,
Samaniego,1,,,,,
Sampues,1,,,,,
San Andres de Tumaco,7,,,,,
